Label,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
milk,26,4943.773796301651,3413.0727579413197,11353.502731591045,8922.633327947793,1406.0592653646108,980.123373944136,6227.636442846989,3803.599260664049,10094.97798515767,7800.036154431081,1902.7425703956671,1187.37784950542,8149.654777570751,6584.9812836801775,9518.537224766464,8121.374660855459,2659.4024367513607,1581.4618893659574,5870.320484181406,4112.392237250745,9798.674831080516,7748.287961607988,1756.610718248573,1189.6744740180202,3174.383384309451,2249.4130633167574,8031.551152397524,4694.557702693834,885.9921256521873,621.4179170362744
milk,27,6074.234160472623,4216.484301375667,10415.909802050759,7855.4176445649855,1879.2695013453108,1163.6150089055632,7624.282813740767,7686.745577687425,9990.855503011608,7974.748730708865,2375.032863070268,1343.6398147498605,6944.499998681541,6766.345377551465,9395.100332937613,8044.695190172562,2266.296413685552,1350.8047437346625,6860.382918882344,5427.844526725814,10275.052203903637,7851.422457956584,2431.6773895315964,1354.3269389154993,4620.7975786367215,2299.095199695961,7372.3280957059305,3994.8811519261717,1384.6932664364283,903.353024683239
milk,28,6540.783020741317,9377.204139592039,10393.160693615348,6932.356044516103,1756.4023184249281,1289.9780342622582,7168.3665043216615,7816.600550093323,9549.897346289272,7389.314945435546,2032.2050328381824,1451.515211964888,8034.456467366956,7134.741009594202,9221.86941017768,7573.237124927434,2859.8719982061066,1439.2287930864798,7036.731915304481,5338.035776588177,10479.19454687099,7364.292164650266,2334.479963101062,1342.5860408512997,3887.156918116647,2522.3524920077875,7514.177094234106,4359.21647592632,1291.2445998675728,750.8578831048374
milk,29,5426.373545914737,3425.64251494471,11187.0737529244,8219.405774393303,1448.8674544178866,1008.0166162050361,10465.689472171209,11058.371755013697,10572.233072790194,7701.953628680921,2337.4189948581725,2128.757827680117,8254.327519227965,7141.637536679939,9283.408262858557,9793.412795412001,2108.3865696845123,1606.5453832233484,4673.916803904141,3073.0849663135737,10227.822932132029,7626.104389706724,1266.329327078612,913.681256109872,4739.958193836365,3967.139879142592,6758.702860071725,3169.8499411262824,1057.1322072420212,907.4807681812007
milk,30,7826.3728850187645,6425.667316679494,11190.284516199677,7388.639314193904,2542.987179258814,1443.3731318467305,8455.574277731213,5784.267164798863,11764.054812740302,8337.379329357142,2822.0369048011944,1649.1409129605036,10466.840456888975,8489.2672740368,9875.073159578742,9134.436557224946,3382.0899877825177,1975.5431964979336,8020.4066147906615,6376.049343709803,10937.38535469204,8628.322203097663,2487.8385867342904,1619.5486211119983,4083.475486595434,2461.4110689549966,8149.45537912633,4411.504925887415,1480.1967098972912,795.0747219403765
milk,31,6134.811691691168,4172.376841500461,11476.688753944694,9773.156360412913,1915.5592462661464,1221.5405326234725,7542.767950984764,4769.426709531986,10713.554971799598,9318.983467429702,2781.6756878627357,1322.3133079063775,8111.569267021781,7358.955192573719,9864.388265749476,8717.632615784749,2668.5444677431456,1649.7016738570292,5091.840739745596,3007.0830352797084,10807.590887979126,7448.419759708805,1606.957306237333,968.8677231602211,5736.350691625941,3777.161003013056,8917.827810952218,4850.475924763175,2138.2871950805907,1063.1474065285977
milk,32,6619.732308427294,5696.368682306637,11568.230275815198,9764.044020254243,2321.460175126164,1164.0779819916843,7574.269047869106,5842.546909567097,11092.01040509735,8060.459186560783,2564.026316585428,1385.107352304675,8006.753614382876,5877.609808295098,9321.1776252805,9684.50542860709,2748.727544391064,1392.3670924709413,7423.407720984163,5324.989559429456,10559.330026711032,8134.22884210598,2392.9343759176236,1330.2410806485664,3906.809998534057,2750.4051765793206,8718.396210756626,4916.457732683615,1252.766764371744,781.5294362030679
milk,33,6722.334362183091,4965.8158668050155,11641.172032027269,8145.621346895281,2009.9719224696628,1303.0162074736306,7655.207439155332,6356.867590527653,10771.561764738806,8141.842736654707,2387.8026221628866,1450.8824875095042,7654.652048796845,5223.578659487217,9684.214607549691,7827.878466013071,2686.5392211597846,1403.2252092749561,6432.664220889537,4209.465586186399,9797.157992015633,8382.650529783776,2005.3576424952294,1225.9113129763773,6135.8001147502,3940.1232787606314,7799.118089641629,3719.256334279032,2021.290198223961,1177.1691044700049
milk,34,7546.012033339921,7341.151196691779,9779.533914300759,7677.220953918893,2668.0160021197958,1423.8882937188146,7024.159969423801,5269.218986144363,9523.616639651016,8022.931347921548,2349.5105043696694,1328.8337324428828,6863.335513167198,4308.283432377444,8912.594823629917,8721.954035496014,2048.8350574380056,1289.185855894667,6765.5970935438345,4090.212337743754,9996.976940801398,8845.356036931758,2365.776837012714,1252.5700431292928,3912.463983800189,2143.9040499673374,7378.877521494895,4582.041284763523,1310.1706398878814,785.7006850799562
milk,35,8206.338164256356,8791.167211119899,10417.73131104907,7108.4645902464645,2262.2832950163347,1471.7328917789894,6327.775788864465,4792.0389257455645,9363.450585059047,7094.164374498763,1978.6913254575966,1173.3831102762283,7824.805637731174,6264.525060348186,8738.201839258782,7093.2827527263025,2567.177334819027,1401.2050069309837,7232.960802815152,4746.398584710264,10720.165711804226,6188.061688057659,2298.6342092011164,1337.4840394270484,2746.1206925532583,1562.2546661574777,6557.6284355684365,4121.178812066306,851.9555257802796,551.5446706593161
milk,36,8125.199645715808,5176.446485501389,11761.96232392822,7704.247925851886,2573.6975735754936,1593.5143911018488,6023.7165099826925,4198.782848321873,10647.304983977861,6899.661274523568,2025.546909125198,1168.848660820048,6632.133385929928,3916.9987555823436,9542.762126232936,7520.525453443015,2344.9895934898886,1233.190546369877,6321.252060683689,3664.347879951112,10826.334774930057,7462.1922296594685,2251.2957669051943,1178.3612228972977,4988.731003938015,3338.94968071512,8277.515917035344,4012.460185874316,1515.062726982209,961.8496869606847
milk,37,9413.145624057646,10838.782609697659,10541.816905032487,8843.841246710688,2450.2835692023136,1722.0105428061463,8636.736039631312,7037.391425928619,10108.71894310346,7407.977179489773,2385.692215520026,1757.8829681608563,8318.703333795687,7117.484516617968,8881.754188482726,6779.043297941795,2232.4902829024995,1545.2948432169271,7862.657443617934,6308.91440141008,9647.177775284013,7420.623937939196,2288.0033150205186,1398.904237822686,3178.8155585458135,1948.8486715871677,7268.401976305181,4778.007438864336,1085.2260505946333,648.3253750706974
milk,38,5741.944254249893,3779.017555011705,11058.63923215041,8287.517591724543,1742.341561738463,1085.1459570331288,6460.8227354158735,4186.538914369882,10000.649788993986,7422.885762821258,2193.9661962504665,1137.3497374472915,6414.756548204281,5174.131272713352,8878.474276366833,7546.688832620068,2225.4763656287632,1214.80459661083,5210.0975424193875,3820.916002541205,10082.257956813548,5881.934035015178,1918.0681358133352,1002.9101466929068,3742.111602254744,3327.0648109513036,7309.120855554136,3425.310931164288,907.7537835862769,608.3910547978326
milk,39,5433.245107563373,3862.2290974434272,10627.536398101845,6877.282672013012,1698.88896310862,1010.0320846706234,7471.308933810734,5006.691354133977,9781.7704902237,6510.601451792976,2270.908429816316,1308.0924077056875,8427.743811459099,6467.393466336563,8392.555429886626,6772.741891677294,2534.5465688178238,1603.1985392046238,5449.49333741782,3509.6074375118924,9530.068480670503,7515.38199735919,1806.8346349331423,1071.9388521261856,3079.1091304879305,2048.949355778678,5645.279578672188,3529.727974274613,938.541298316557,610.7525741828083
milk,40,6227.602414812898,4219.0247881491005,11452.531237918089,8119.701772202619,1858.453959575888,1228.2902648175027,9521.966653819622,5738.430799752417,10033.059025357095,7188.151166151872,3013.0887612890397,1685.366514403567,8750.60244263411,6707.31275481962,9112.41218225945,6392.623087540793,2441.646377172755,1717.8865744366778,6426.085114990616,4583.698080687257,10306.036934236314,6179.148175833539,1961.6560147938444,1256.6365375266778,4359.833072550301,2686.472329933178,7317.859774718556,4370.4383831952255,1609.6847854406938,825.9956823653087
