Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
A,11,6169.04268028018,5565.280442967949,7700.104138535251,5667.4926008520115,2639.0857462571985,1356.418434180007,5994.966904398563,6836.836796184761,8476.683142876078,5849.483728952541,2715.9093593150424,1222.6384093518318,6774.124163607106,7917.915990242275,8643.135192845144,6102.953509424904,3062.9045881919265,1406.4148075113874,5527.040931804383,6452.634353553512,8305.878587969837,6844.420038480558,2317.183016227753,1167.2457369841507,2315.402110077063,1847.0915160464262,2239.5741624349257,1499.1928481532655,888.5277668994054,473.5715648682383
A,12,3524.9803966942454,2043.7177405212497,4289.830304982013,3287.0381260274303,1289.102146887834,726.0478234299865,5459.244758287455,3510.0206080749645,5703.5919027239,4401.916542931314,2198.4227895589665,1087.3180160249385,5030.875766968137,4133.237111191754,5750.154721411143,4667.228506280055,2173.3543854146583,917.8801319971437,4287.621484193883,3643.6310883895817,4903.365114058833,3839.419751340144,1847.006443314898,786.2328800882158,1574.8415008505012,969.4259885101804,2113.9048859547456,1461.3706992534965,551.2675838396765,282.8993156399763
A,13,4698.632959939338,2393.508994712928,6538.573311561633,4766.162533877117,1808.400700784906,935.9311343656037,6489.166083752011,5244.030895931353,7934.240676978729,6404.669781087556,2644.535341051731,1318.2813833046562,7348.039932883377,5526.279819621085,7504.063133603326,6490.074947999093,3013.831492634413,1576.4143208394864,6041.467935328948,4640.914692858744,7396.774306196174,5610.37679110736,2431.9256988886573,1313.6625435669755,1608.1852320450164,744.0730874264412,2141.199782125056,759.3810962077021,531.2406342600841,313.6996183311083
A,14,5090.830156679223,3378.488392143059,6783.207884008881,6836.454105734915,1992.753238038245,1018.6214963873053,6702.86895352897,5704.243270743057,7169.183516387704,5291.629246588884,2867.855527419855,1384.4425955894144,7159.351470706957,7533.769210620016,7309.742921534545,5017.847625832775,3185.733545123263,1517.6527959896832,6405.621710797778,6852.4984356551395,7662.6010153644565,5297.248550954128,2934.799785033517,1308.2554136262345,2130.611327895853,1749.2157869862344,2340.7194823402947,1031.6823905604779,879.4107540199641,401.78447501456776
A,15,4284.948661839318,2941.3119462922386,6016.833168353414,4653.036599141706,1631.4095993952947,881.7506495477991,6843.69639809693,6317.087930619226,6179.920007632095,4314.457060919546,2776.5528023180595,1519.9092552673021,8033.1799332880655,8570.032874611274,7108.232455609042,4850.015204308772,3371.536268522126,1827.2075046369648,5989.263118550404,6011.6105670004845,7863.946620982004,4944.58524662036,2574.6382693876244,1258.7921040251902,1976.3538571962517,1476.9072181912775,2206.137574192877,764.3944114358553,718.9163774832747,368.01222830461114
A,16,3896.6771577965865,2463.9692830687477,4028.3649902234424,2793.280543204009,1325.1822169421341,847.495383996234,5153.563692609368,3203.329637458264,4827.773455174228,3216.272497475158,1944.9023369594183,1032.2989538395436,6271.360485004907,5367.434505154117,5363.289631456344,4132.880130473527,2649.845952217216,1320.4314961633438,4667.858559904125,3396.651213287844,5650.5404600909,3522.195490227043,1929.6649537753074,938.8038590270738,1321.5656418210554,555.1011208402499,2072.599018782492,903.6678184442845,442.7193659366185,241.3083293806359
A,17,3969.5777771717794,2842.525773143307,5508.775541354542,3624.190332505175,1566.6263889109143,816.0015419436995,5616.555803151658,4777.638214649936,6450.2562204102705,3520.10148608085,2208.7172734123565,1225.186926986921,6381.4997369951,5468.560972205711,6477.986939157541,4041.0429266285105,2534.268495742971,1397.7295761807204,5424.969463692878,5010.063753885753,6158.672343418047,4093.6729608223072,2303.2446122710408,1130.7886394365835,1484.4825347729775,1027.445426265549,1801.0736405472362,1001.7557356091978,536.7855063647112,288.0003023931163
A,18,3833.7660827316904,3232.8612903890744,6997.161177775425,4493.193197324417,1457.398944244485,833.4892203244489,5573.114392136474,4940.070188991376,7005.102475047128,5640.2661341543635,2357.076550784115,1134.3577107058288,6667.950963016048,5202.062951831066,6375.117668912298,4867.118233104908,2606.9201728309936,1439.1913604262138,5701.8753666746525,4792.660566210462,5645.079813019816,4488.949511537879,2199.3610428411835,1273.0584665994816,1661.3703710714058,810.5969961244977,1584.8305424726664,1104.327706297272,618.0402365412123,291.1591220446887
A,19,4990.273992949038,3398.7649190987686,5638.337364068368,3678.8601054131655,2111.9294178385935,914.5058595395465,7694.563949422492,5109.766200937939,5998.964942124459,4560.577999076618,3258.0826786097277,1448.946994579215,7905.380020681305,6128.472177354878,7253.13481206732,5554.87580232242,3476.234528275715,1513.1075068743394,5121.920023499994,4438.99158287891,7314.431217926092,5493.651522619379,2149.5016957463267,1049.6944595161735,2206.3362397626734,993.8226185340652,1683.8745745144474,851.2236845000194,811.9333002034676,404.91400339263436
A,20,5171.380779212652,4598.556005572831,7755.473888621622,5116.794481206786,2140.9193074253,1046.0598528272897,6203.660189375417,5755.435279347563,8776.93819545484,5731.069692423564,2776.247833991436,1162.752296643629,7737.423469031495,6126.042569300397,7438.86158491605,4944.22093918347,3371.586210279684,1502.7661111080893,7090.2222946550355,4954.77035919695,6896.984148273962,5525.346290252556,3071.7414543151763,1413.819011641967,2191.772034544218,1296.7431698643713,2292.3366467655023,1111.023209881726,810.154185432871,408.08741834972494
